Gene Name	Accession	Object ID
glaR	b2664	EG12386
glcA	b2975	G7542
glcB	b2976	EG20080
glcC	b2980	G7546
glcD	b2979	G7545
glcE	b4468	G7544
glcF	b4467	G0-8601
glcG	b2977	G7543
gldA	b3945	EG11904
glf	b2036	EG11981
glgA	b3429	EG10377
glgB	b3432	EG10378
glgC	b3430	EG10379
glgP	b3428	EG10380
glgS	b3049	EG11381
glgX	b3431	EG10381
glk	b2388	EG12957
glmM	b3176	EG11553
glmS	b3729	EG10382
glmU	b3730	EG11198
glmY	b4441	G0-8910
glmZ	b4456	G0-8873
glnA	b3870	EG10383
glnB	b2553	EG10384
glnD	b0167	EG11411
glnE	b3053	EG11602
glnG	b3868	EG10385
glnH	b0811	EG10386
glnK	b0450	EG12191
glnL	b3869	EG10387
glnP	b0810	EG10388
glnQ	b0809	EG10389
glnS	b0680	EG10390
glnU	b0670	EG30028
glnV	b0665	EG30029
glnW	b0668	EG30030
glnX	b0664	EG30031
glnZ	b4836	G0-17117
gloA	b1651	G6891
gloB	b0212	G6099
gloC	b0927	G6475
glpA	b2241	EG10391
glpB	b2242	EG10392
glpC	b2243	EG10393
glpD	b3426	EG10394
glpE	b3425	EG10395
glpF	b3927	EG10396
glpG	b3424	EG10397
glpK	b3926	EG10398
glpQ	b2239	EG10399
glpR	b3423	EG10400
glpT	b2240	EG10401
glpX	b3925	EG11517
glrK	b2556	G7345
glrR	b2554	EG11285
glsA	b0485	G6261
glsB	b1524	G6810
gltA	b0720	EG10402
gltB	b3212	EG10403
gltD	b3213	EG10404
gltF	b3214	EG11514
gltI	b0655	G6359
gltJ	b0654	EG12661
gltK	b0653	EG12662
gltL	b0652	EG12663
gltP	b4077	EG10405
gltS	b3653	EG10406
gltT	b3969	EG30032
gltU	b3757	EG30033
gltV	b4008	EG30034
gltW	b2590	EG30035
gltX	b2400	EG10407
gluQ	b0144	EG11362
glvB	b3682	EG11709
glvC	b3683	EG11710
glvG	b4556	EG11708
glxK	b0514	G6283
glxR	b0509	G6278
glyA	b2551	EG10408
glyQ	b3560	EG10409
glyS	b3559	EG10410
glyT	b3978	EG30036
glyU	b2864	EG30037
glyV	b4163	EG30038
glyW	b1911	EG30039
glyX	b4164	EG30040
glyY	b4165	EG30041
gmd	b2053	EG11787
gmhA	b0222	G6106
gmhB	b0200	EG11736
gmk	b3648	EG10965
gmm	b2051	EG11789
gnd	b2029	EG10411
gndA		G0-16693
gnsA	b4517	G0-9662
gnsB	b1550	G6823
gntK	b3437	EG12629
gntP	b4321	EG12563
gntR	b3438	EG12630
gntT	b3415	EG12380
gntU	b4476	EG12631
gor	b3500	EG10412
gph	b3385	EG11871
gpmA	b0755	EG11699
gpmM	b3612	EG12296
gpp	b3779	EG10413
gpr	b3001	G7558
gpsA	b3608	EG20091
gpt	b0238	EG10414
grcA	b2579	EG11784
greA	b3181	EG10415
greB	b3406	EG11578
groL	b4143	EG10599
groS	b4142	EG10600
grpE	b2614	EG10416
grxA	b0849	EG10417
grxB	b1064	EG12688
grxC	b3610	EG12294
grxD	b1654	EG12181
gshA	b2688	EG10418
gshB	b2947	EG10419
gsiA	b0829	G6429
gsiB	b0830	G6430
gsiC	b0831	G6431
gsiD	b0832	G6432
gsk	b0477	EG11102
gspA	b3323	G7701
gspB	b3322	EG11263
gspC	b3324	G7702
gspD	b3325	G7703
gspE	b3326	G7704
gspF	b3327	G7705
gspG	b3328	G7706
gspH	b3329	G7707
gspI	b3330	G7708
gspJ	b3331	G7709
gspK	b3332	G7710
gspL	b3333	G7711
gspM	b3334	EG12173
gspO	b3335	EG11359
gss	b2988	EG12882
gstA	b1635	G6878
gstB	b0838	G6438
guaA	b2507	EG10420
guaB	b2508	EG10421
guaC	b0104	EG10422
guaD	b2883	G7502
gudD	b2787	G7445
gudP	b2789	G7447
gudX	b2788	G7446
gutM	b2706	EG10972
gutQ	b2708	EG10973
gyrA	b2231	EG10423
gyrB	b3699	EG10424
hcaB	b2541	G7335
hcaC	b2540	G7334
hcaD	b2542	G7336
hcaE	b2538	M009
hcaF	b2539	M015
hcaR	b2537	G7331
hcaT	b2536	G7330
hchA	b1967	G7055
hcp	b0873	G6457
hcr	b0872	G6456
hcxA	b0599	EG12692
hcxB	b0801	EG11581
hda	b2496	G7313
hdeA	b3510	EG11398
hdeB	b3509	EG11399
hdeD	b3511	EG11495
hdfR	b4480	EG11449
hdhA	b1619	EG10425
helD	b0962	EG10426
hemA	b1210	EG10427
hemB	b0369	EG10428
hemC	b3805	EG10429
hemD	b3804	EG10430
hemE	b3997	EG11543
hemF	b2436	EG12189
hemG	b3850	EG11485
hemH	b0475	EG10431
hemL	b0154	EG10432
hemN	b3867	EG11836
hemW	b2955	G7531
hemX	b3803	EG10433
hemY	b3802	EG10434
hflC	b4175	EG10435
hflD	b1132	EG11345
hflK	b4174	EG10436
hflX	b4173	EG10437
hfq	b4172	EG10438
hha	b0460	EG10439
hicA	b4532	G0-10451
hicB	b1438	G6749
higA	b3082	G7601
higB	b3083	G7602
hinT	b1103	EG12172
hipA	b1507	EG10443
hipB	b1508	EG10442
hipH	b4385	EG12342
hisA	b2024	EG10444
hisB	b2022	EG10445
hisC	b2021	EG10446
hisD	b2020	EG10447
hisF	b2025	EG10448
hisG	b2019	EG10449
hisH	b2023	EG10450
hisI	b2026	EG10451
hisJ	b2309	EG12124
hisL	b2018	EG11269
hisM	b2307	EG10007
hisP	b2306	EG10452
hisQ	b2308	EG12125
hisR	b3797	EG30042
hisS	b2514	EG10453
hiuH	b1970	G7058
hldE	b3052	G7590
hlyE	b1182	G6619
hmp	b2552	EG10456
hns	b1237	EG10457
hofB	b0107	EG12106
hofC	b0106	EG11798
hofM	b3395	G7739
hofN	b3394	G7738
hofO	b3393	G7737
hofP	b3392	G7736
hofQ	b3391	EG12113
hokA	b4455	G0-9613
hokB	b4428	G0-9610
hokC	b4412	G0-9563
hokD	b1562	EG11130
hokE	b4415	G0-9582
holA	b0640	EG11412
holB	b1099	EG11500
holC	b4259	EG11413
holD	b4372	EG11414
holE	b1842	EG11505
hpf	b3203	EG11681
hprR	b1969	G7057
hprS	b1968	G7056
hpt	b0125	EG20098
hrpA	b1413	G6732
hrpB	b0148	EG12329
hscA	b2526	EG12130
hscB	b2527	EG12131
hscC	b0650	G6357
hsdM	b4349	EG10458
hsdR	b4350	EG10459
hsdS	b4348	EG10460
hslJ	b1379	G6702
hslO	b3401	G7744
hslR	b3400	G7743
hslU	b3931	EG11881
hslV	b3932	EG11676
hspQ	b0966	G6500
hsrA	b3754	EG11732
htpG	b0473	EG10461
htpX	b1829	EG10462
htrE	b0139	EG11972
htrL	b3618	EG11188
hupA	b4000	EG10466
hupB	b0440	EG10467
hxpA	b2293	G7187
hxpB	b1727	G6932
hyaA	b0972	EG10468
hyaB	b0973	EG10469
hyaC	b0974	EG10470
hyaD	b0975	EG10471
hyaE	b0976	EG10472
hyaF	b0977	EG10473
hybA	b2996	EG11799
hybB	b2995	EG11800
hybC	b2994	EG11801
hybD	b2993	EG11802
hybE	b2992	EG11803
hybF	b2991	EG11804
hybG	b2990	EG11805
hybO	b2997	G7554
hycA	b2725	EG10474
hycB	b2724	EG10475
hycC	b2723	EG10476
hycD	b2722	EG10477
hycE	b2721	EG10478
hycF	b2720	EG10479
hycG	b2719	EG10480
hycH	b2718	EG10481
hycI	b2717	G7414
hydN	b2713	EG11552
hyfA	b2481	EG11150
hyfB	b2482	EG11282
hyfC	b2483	G7300
hyfD	b2484	G7301
hyfE	b2485	G7302
hyfF	b2486	G7303
hyfG	b2487	G7304
hyfH	b2488	G7305
hyfI	b2489	G7306
hyfJ	b2490	G7307
hyfR	b2491	G7308
hyi	b0508	G6277
hypA	b2726	EG10483
hypB	b2727	EG10484
hypC	b2728	EG10485
hypD	b2729	EG10486
hypE	b2730	EG10487
hypF	b2712	EG11551
hypT	b4327	G7924
hyuA	b2873	G7492
iaaA	b0828	EG12407
iadA	b4328	G7925
iap	b2753	EG10488
ibaG	b3190	G7657
ibpA	b3687	EG11534
ibpB	b3686	EG11535
ibsA	b4667	G0-10633
ibsB	b4668	G0-10632
ibsC	b4665	G0-10631
ibsD	b4664	G0-10630
ibsE	b4666	G0-10629
icd	b1136	EG10489
icdC	b4519	G0-10556
iclR	b4018	EG10491
idi	b2889	G7508
idlP	b4722	G0-16685
idnD	b4267	G7893
idnK	b4268	EG12152
idnO	b4266	G7892
idnR	b4264	G7891
idnT	b4265	EG12539
igaA	b3398	G7741
ihfA	b1712	EG10440
ihfB	b0912	EG10441
ileS	b0026	EG10492
ileT	b3852	EG30043
ileU	b3277	EG30044
ileV	b0202	EG30045
ileX	b3069	EG30046
ileY	b2652	G7387
ilvA	b3772	EG10493
ilvB	b3671	EG10494
ilvC	b3774	EG10495
ilvD	b3771	EG10496
ilvE	b3770	EG10497
ilvG	b4488	G8221
ilvH	b0078	EG10499
ilvI	b0077	EG10500
ilvL	b3766	EG11270
ilvM	b3769	EG10501
ilvN	b3670	EG10502
ilvX	b4669	G0-10641
ilvY	b3773	EG10503
inaA	b2237	EG11422
infA	b0884	EG10504
infB	b3168	EG10505
infC	b1718	EG10506
insA1	b0022	G6086
insA2	b0265	G6139
insA3	b0275	G6146
insA4	b4516	G0-10430
insA5	b1894	G7030
insA6	b3444	G7761
insA7	b4294	G7908
insA9	b4709	G0-16638
insAB1		G0-10535
insAB2		G0-10537
insAB3		G0-10538
insAB4		G0-10536
insAB5		G0-10539
insAB6		G0-10540
insB1	b0021	G6085
insB2	b0264	G6138
insB3	b0274	G6145
insB4	b0988	G6509
insB5	b1893	G7029
insB6	b3445	G7762
insB7	b4576	G0-10569
insB9	b4710	G0-16637
insC1	b0360	G6212
insC2	b1403	G6724
insC3	b1997	G7077
insC4	b2861	G7481
insC5	b3044	G7583
insC6	b4272	G7894
insCD1		G0-10541
insCD2		G0-10542
insCD3		G0-10543
insCD4		G0-10544
insCD5		G0-10545
insCD6		G0-10546
insD1	b0361	G6213
insD2	b1402	G6723
insD3	b1996	G7076
insD4	b2860	G7480
insD5	b3045	G7584
insD6	b4273	G7895
insD7	b1578	G6836
insE1	b0298	G6168
insE2	b0373	G6224
insE3	b0540	G6296
insE4	b1027	G6534
insE5	b2088	G7125
insEF1		G0-10525
insEF2		G0-10529
insEF3		G0-10530
insEF4		G0-10531
insEF5		G0-10528
insF1	b0299	G6169
insF2	b0372	G6223
insF3	b0541	G6297
insF4	b1026	G6533
insF5	b2089	G7126
insG	b4278	G7900
insH1	b0259	G6134
insH10	b3218	G7672
insH11	b3505	G7769
insH2	b0552	G6308
insH21	b4711	G0-16639
insH3	b0656	G6360
insH4	b1331	G6667
insH5	b1370	G6693
insH6	b1994	G7074
insH7	b2030	G7092
insH8	b2192	G7150
insH9	b2982	G7548
insI1	b0256	G6131
insI2	b4708	G0-16679
insI2	b1404	G6725
insI3	b4284	G7905
insJ	b3557	G7776
insJK		G0-10624
insK	b3558	G7777
insL1	b0016	G6083
insL2	b0582	G6327
insL3	b2394	G7255
insM	b4561	G0-10567
insN	b4587	G6130
insO	b4623	G7904
insQ	b1432	G6743
insX	b4505	G0-10433
insZ	b4573	G6632
intA	b2622	EG11783
intB	b4271	EG12364
intD	b0537	EG10507
intE	b1140	EG12370
intF	b0281	G6152
intG	b1936	G7044
intQ	b1579	G6837
intR	b1345	G6676
intS	b2349	G7218
intZ	b2442	G7272
ipeX		G0-17079
iprA	b0375	G6226
iraD	b4326	G7923
iraM	b1160	G6600
iraP	b0382	EG11256
iroK	b4706	G0-10716
IS128		G0-8908
iscA	b2528	EG12132
iscR	b2531	G7326
iscS	b2530	G7325
iscU	b2529	G7324
iscX	b2524	EG12311
ispA	b0421	EG10508
ispB	b3187	EG10017
ispD	b2747	G7423
ispE	b1208	EG11294
ispF	b2746	EG11816
ispG	b2515	EG10370
ispH	b0029	EG11081
ispU	b0174	G6092
ispZ	b4809	G0-17084
isrC	b4435	G0-8905
istR	b4616	G0-10201
istR-1		G0-10202
ivbL	b3672	EG11275
ivy	b0220	G6104
jayE	b1152	G6596
katE	b1732	EG10509
katG	b3942	EG10511
kbaY	b3137	EG12768
kbaZ	b3132	G7631
kbl	b3617	EG10512
kbp	b2665	G7395
kch	b1250	EG11606
kdgK	b3526	EG12253
kdgR	b1827	G7003
kdgT	b3909	EG11869
kdpA	b0698	EG10513
kdpB	b0697	EG10514
kdpC	b0696	EG10515
kdpD	b0695	EG10516
kdpE	b0694	EG10517
kdpF	b4513	G0-10439
kdsA	b1215	EG10518
kdsB	b0918	EG10519
kdsC	b3198	G7663
kdsD	b3197	G7662
kduD	b2842	EG12361
kduI	b2843	G7463
kefB	b3350	EG20110
kefC	b0047	EG10521
kefF	b0046	EG11568
kefG	b3351	G7717
kgtP	b2587	EG10522
kilR	b1352	EG12155
kilS	b4833	G0-17108
kptA	b4331	G7928
kup	b3747	EG11541
lacA	b0342	EG10524
lacI	b0345	EG10525
lacY	b0343	EG10526
lacZ	b0344	EG10527
lafU	b0230	G6114
lamB	b4036	EG10528
lapA	b1279	G6637
lapB	b1280	EG12691
lapC	b2188	EG12049
ldcA	b1192	G6621
ldcC	b0186	G6094
ldhA	b1380	G592
ldrA	b4419	G0-9602
ldrB	b4421	G0-9605
ldrC	b4423	G0-9607
ldrD	b4453	G0-9041
ldtA	b1990	G7073
ldtB	b0819	G6422
ldtC	b1113	G6571
ldtD	b0925	EG11253
ldtE	b1678	G6904
lepA	b2569	EG10529
lepB	b2568	EG10530
letA	b1833	G7006
letB	b1834	G7007
leuA	b0074	EG11226
leuB	b0073	EG11577
leuC	b0072	EG11576
leuD	b0071	EG11575
leuE	b1798	G6984
leuL	b0075	EG11280
leuO	b0076	EG10531
leuP	b4369	EG30047
leuQ	b4370	EG30048
leuS	b0642	EG10532
leuT	b3798	EG30049
leuU	b3174	EG30050
leuV	b4368	EG30051
leuW	b0672	EG30052
leuX	b4270	EG30053
leuZ	b1909	EG30054
lexA	b4043	EG10533
lfhA	b0229	G6113
lgoD	b4358	G7945
lgoR	b4357	G7944
lgoT	b4356	EG12587
lgt	b2828	EG12128
lhgD	b2660	EG12387
lhr	b1653	EG11548
ligA	b2411	EG10534
ligB	b3647	EG11334
lipA	b0628	EG11306
lipB	b0630	EG11591
lit	b1139	EG10535
livF	b3454	EG10536
livG	b3455	EG10537
livH	b3457	EG10538
livJ	b3460	EG10539
livK	b3458	EG10540
livM	b3456	EG10541
lldD	b3605	EG11963
lldP	b3603	EG11961
lldR	b3604	EG11962
lnt	b0657	EG10168
loiP	b2936	EG11291
lolA	b0891	G6465
lolB	b1209	EG11293
lolC	b1116	G6573
lolD	b1117	G6574
lolE	b1118	G6575
lomR	b4570	G6692
lon	b0439	EG10542
lpd	b0116	EG10543
lplA	b4386	EG11796
lplT	b2835	EG12455
lpoA	b3147	G7642
lpoB	b1105	G6565
lpp	b1677	EG10544
lptA	b3200	G7665
lptB	b3201	EG11680
lptC	b3199	G7664
lptD	b0054	EG11569
lptE	b0641	EG10855
lptF	b4261	G7888
lptG	b4262	G7889
lpxA	b0181	EG10545
lpxB	b0182	EG10546
lpxC	b0096	EG10265
lpxD	b0179	EG10316
lpxH	b0524	EG12666
lpxK	b0915	EG11409
lpxL	b1054	EG10464
lpxM	b1855	EG10614
lpxP	b2378	G7241
lpxT	b2174	G7146
lrhA	b2289	EG12123
lrp	b0889	EG10547
lspA	b0027	EG10548
lsrA	b1513	G6800
lsrB	b1516	G6803
lsrC	b1514	G6801
lsrD	b1515	G6802
lsrF	b1517	G6804
lsrG	b1518	G6805
lsrK	b1511	G6798
lsrR	b1512	G6799
ltaE	b0870	G6455
luxS	b2687	EG12712
lysA	b2838	EG10549
lysC	b4024	EG10550
lysO	b0874	G6458
lysP	b2156	EG11337
lysQ	b0749	G6392
lysR	b2839	EG10551
lysS	b2890	EG10552
lysT	b0743	EG30055
lysU	b4129	EG10553
lysV	b2404	EG30056
lysW	b0745	EG30057
lysY	b0747	G6390
lysZ	b0748	G6391
lyxK	b3580	EG12284
maa	b0459	G58
macA	b0878	G6461
macB	b0879	G6462
maeA	b1479	EG10948
maeB	b2463	G7293
mak	b0394	EG11288
malE	b4034	EG10554
malF	b4033	EG10555
malG	b4032	EG10556
malH	b4807	G0-17082
malI	b1620	EG10557
malK	b4035	EG10558
malM	b4037	EG10559
malP	b3417	EG10560
malQ	b3416	EG10561
malS	b3571	EG11316
malT	b3418	EG10562
malX	b1621	EG10563
malY	b1622	EG10564
malZ	b0403	EG10565
manA	b1613	EG10566
manX	b1817	EG10567
manY	b1818	EG10568
manZ	b1819	EG10569
maoP	b3764	EG11450
map	b0168	EG10570
marA	b1531	EG11434
marB	b1532	EG11599
marC	b1529	EG11637
marR	b1530	EG11435
matA	b0294	G6165
matP	b0956	EG12855
mazE	b2783	EG10571
mazF	b2782	EG11249
mazG	b2781	EG10572
mbiA	b0012	EG11509
mcaS	b4426	G0-8899
mcbA	b0806	G6415
mcbR	b1450	G6761
mcrA	b1159	EG10573
mcrB	b4346	EG10574
mcrC	b4345	EG10575
mdaB	b3028	EG12656
mdfA	b0842	G6440
mdh	b3236	EG10576
mdlA	b0448	G6248
mdlB	b0449	EG11622
mdtA	b2074	G7113
mdtB	b2075	G7114
mdtC	b2076	G7115
mdtD	b2077	EG12136
mdtE	b3513	EG12240
mdtF	b3514	EG12241
mdtG	b1053	EG11343
mdtH	b1065	G6559
mdtI	b1599	G6857
mdtJ	b1600	G6858
mdtK	b1663	EG12400
mdtL	b3710	EG11720
mdtM	b4337	EG12576
mdtN	b4082	EG11954
mdtO	b4081	EG11953
mdtP	b4080	EG11952
mdtQ	b2139	EG12020
mdtU	b4777	G0-17023
melA	b4119	EG10577
melB	b4120	EG10578
melR	b4118	EG11230
menA	b3930	EG11880
menB	b2262	EG11368
menC	b2261	EG11532
menD	b2264	EG10579
menE	b2260	EG12437
menF	b2265	EG12362
menH	b2263	EG12438
menI	b1686	G6912
mepA	b2328	EG10580
mepH	b1655	G6892
mepK	b0926	G6474
mepM	b1856	EG10013
mepS	b2175	G7147
metA	b4013	EG10581
metB	b3939	EG10582
metC	b3008	EG10583
metE	b3829	EG10584
metF	b3941	EG10585
metG	b2114	EG10586
metH	b4019	EG10587
metI	b0198	EG11737
metJ	b3938	EG10588
metK	b2942	EG10589
metL	b3940	EG10590
metN	b0199	EG11621
metQ	b0197	EG11504
metR	b3828	EG10591
metT	b0673	EG30058
metU	b0666	EG30059
metV	b2816	EG30060
metW	b2815	EG31117
metY	b3171	EG30061
metZ	b2814	EG30062
mfd	b1114	EG11619
mglA	b2149	EG10592
mglB	b2150	EG10593
mglC	b2148	EG10594
mgrB	b1826	G7002
mgrR	b4698	G0-10671
mgsA	b0963	G6497
mgtA	b4242	EG12525
mgtL	b4702	G0-10689
mgtS	b4599	G0-8892
mgtT	b4775	G0-17021
mhpA	b0347	M010
mhpB	b0348	M011
mhpC	b0349	M012
mhpD	b0350	M013
mhpE	b0352	G6205
mhpF	b0351	M014
mhpR	b0346	G6201
mhpT	b0353	G6206
miaA	b4171	EG10595
miaB	b0661	G6364
micA	b4442	G0-8866
micC	b4427	G0-8901
micF	b4439	EG30063
micL	b4717	G0-16601
minC	b1176	EG10596
minD	b1175	EG10597
minE	b1174	EG10598
mioC	b3742	EG11199
mipA	b1782	G6968
mlaA	b2346	G7216
mlaB	b3191	G7658
mlaC	b3192	G7659
mlaD	b3193	EG12799
mlaE	b3194	EG12800
mlaF	b3195	EG12801
mlc	b1594	G6852
mliC	b1639	EG11488
mlrA	b2127	EG12008
mltA	b2813	G7457
mltB	b2701	G7410
mltC	b2963	G7533
mltD	b0211	EG10246
mltF	b2558	EG11373
mltG	b1097	EG11494
mmuM	b0261	G6136
mmuP	b0260	G6135
mnaT	b1448	G6759
mngA	b0731	EG13235
mngB	b0732	EG13236
mngR	b0730	EG11109
mnmA	b1133	EG11344
mnmC	b2324	G7199
mnmE	b3706	EG10997
mnmG	b3741	EG10375
mntH	b2392	G7254
mntP	b1821	G6999
mntR	b0817	G6420
mntS	b4705	G0-10715
moaA	b0781	EG11595
moaB	b0782	EG11596
moaC	b0783	EG11666
moaD	b0784	EG11597
moaE	b0785	EG11598
mobA	b3857	EG11829
mobB	b3856	EG11828
mocA	b2877	G7496
modA	b0763	EG12427
modB	b0764	EG10002
modC	b0765	EG10152
modE	b0761	G6395
modF	b0760	EG11677
moeA	b0827	EG10153
moeB	b0826	EG10154
mog	b0009	EG11511
mokA	b4647	G0-16663
mokB	b1420	G6736
mokC	b0018	EG10373
motA	b1890	EG10601
motB	b1889	EG10602
motR	b4828	G0-17103
mpaA	b1326	G6662
mpl	b4233	EG12440
mppA	b1329	G6665
mprA	b2684	EG10603
mqo	b2210	EG12069
mqsA	b3021	G7571
mqsR	b3022	G7572
mraY	b0087	EG10604
mraZ	b0081	EG11084
mrcA	b3396	EG10748
mrcB	b0149	EG10605
mrdA	b0635	EG10606
mrdB	b0634	EG10607
mreB	b3251	EG10608
mreC	b3250	EG10609
mreD	b3249	EG10610
mrp	b2113	EG10611
mrr	b4351	EG10612
msbA	b0914	EG10613
mscK	b0465	G6255
mscL	b3291	EG11180
mscM	b4159	G7840
mscS	b2924	EG11160
msrA	b4219	EG11433
msrB	b1778	EG12394
msrC	b1832	G7005
msrP	b1971	G7059
msrQ	b1972	G7060
msyB	b1051	EG11338
mtfA	b1976	G7063
mtgA	b3208	G7668
mtlA	b3599	EG10615
mtlD	b3600	EG10616
mtlR	b3601	EG11965
mtn	b0159	EG11090
mtr	b3161	EG10617
mug	b3068	EG12717
mukB	b0924	EG10618
mukE	b0923	EG11252
mukF	b0922	EG12165
murA	b3189	EG11358
murB	b3972	EG11205
murC	b0091	EG10619
murD	b0088	EG10620
murE	b0085	EG10621
murF	b0086	EG10622
murG	b0090	EG10623
murI	b3967	EG11204
murJ	b1069	G6561
murP	b2429	G7264
murQ	b2428	G7263
murR	b2427	G7262
mutH	b2831	EG10624
mutL	b4170	EG11281
mutM	b3635	EG10329
mutS	b2733	EG10625
mutT	b0099	EG10626
mutY	b2961	EG10627
mzrA	b3096	G7610
nac	b1988	G7072
nadA	b0750	EG10630
nadB	b2574	EG10631
nadC	b0109	EG11546
nadD	b0639	G6350
nadE	b1740	EG10663
nadK	b2615	EG12192
nadR	b4390	EG11335
nagA	b0677	EG10632
nagB	b0678	EG10633
nagC	b0676	EG10636
nagE	b0679	EG10635
nagK	b1119	G6576
nagZ	b1107	G6567
nanA	b3225	EG10637
nanC	b4311	G7921
nanE	b3223	G7677
nanK	b3222	G7676
nanM	b4310	G7920
nanQ	b3221	G7675
nanR	b3226	G7678
nanS	b4309	G7919
nanT	b3224	G436
nanX	b4279	EG12544
nanY	b4280	G7901
napA	b2206	EG12067
napB	b2203	EG12061
napC	b2202	EG12060
napD	b2207	EG12143
napF	b2208	EG12068
napG	b2205	EG12064
napH	b2204	EG12062
narG	b1224	EG10638
narH	b1225	EG10639
narI	b1227	EG10640
narJ	b1226	EG10641
narK	b1223	EG10642
narL	b1221	EG10643
naRNA1		G0-16694
naRNA2		G0-16695
naRNA3		G0-16696
naRNA4		G0-16697
naRNA5		G0-16698
naRNA6		G0-16699
narP	b2193	EG11527
narQ	b2469	EG11460
narS	b4813	G0-17088
narU	b1469	EG12153
narV	b1465	EG10644
narW	b1466	EG10645
narX	b1222	EG10646
narY	b1467	EG10647
narZ	b1468	EG10648
nc1		G0-10738
ndh	b1109	EG10649
ndk	b2518	EG10650
nei	b0714	G6383
nemA	b1650	G6890
nemR	b1649	G6889
nepI	b3662	EG11689
nfeF	b3070	G7593
nfeR	b3071	G7594
nfi	b3998	EG11915
nfo	b2159	EG10651
nfrA	b0568	EG11740
nfrB	b0569	EG11739
nfsA	b0851	EG11261
nfsB	b0578	EG50005
nfuA	b3414	G7748
nhaA	b0019	EG10652
nhaB	b1186	EG11392
nhaR	b0020	EG11078
nhoA	b1463	G6770
nikA	b3476	EG12075
nikB	b3477	EG12076
nikC	b3478	EG12077
nikD	b3479	EG12078
nikE	b3480	EG12079
nikR	b3481	EG11519
nimR	b1790	G6976
nimT	b1791	G6977
ninE	b0548	G6304
nirB	b3365	EG10653
nirC	b3367	EG10654
nirD	b3366	EG10655
nlpA	b3661	EG10657
nlpC	b1708	EG11133
nlpD	b2742	EG12111
nlpE	b0192	EG12137
nlpI	b3163	EG12371
nmpC	b0553	EG10659
nnr	b4167	EG11758
nohA	b1548	EG11634
nohD	b0560	EG11635
norR	b2709	EG12108
norV	b2710	G7413
norW	b2711	EG12450
npr	b3206	EG12147
nrdA	b2234	EG10660
nrdB	b2235	EG10661
nrdD	b4238	EG11417
nrdE	b2675	EG20257
nrdF	b2676	EG12381
nrdG	b4237	G812
nrdH	b2673	G7401
nrdI	b2674	G7402
nrdR	b0413	EG11320
nrfA	b4070	EG11781
nrfB	b4071	EG11945
nrfC	b4072	EG11946
nrfD	b4073	EG11947
nrfE	b4074	EG11948
nrfF	b4075	EG11949
nrfG	b4076	EG11950
nsrR	b4178	EG11212
nth	b1633	EG10662
nudB	b1865	EG11138
nudC	b3996	EG11702
nudE	b3397	G7740
nudF	b3034	EG12633
nudG	b1759	G6954
nudI	b2251	G7164
nudJ	b1134	G6580
nudK	b2467	EG12410
nudL	b1813	EG12693
nuoA	b2288	EG12082
nuoB	b2287	EG12083
nuoC	b2286	EG12084
nuoE	b2285	EG12086
nuoF	b2284	EG11774
nuoG	b2283	EG12087
nuoH	b2282	EG12088
nuoI	b2281	EG12089
nuoJ	b2280	EG12090
nuoK	b2279	EG12091
nuoL	b2278	EG12092
nuoM	b2277	EG11773
nuoN	b2276	EG12093
nupC	b2393	EG11971
nupG	b2964	EG10664
nupX	b2161	EG12029
nusA	b3169	EG10665
nusB	b0416	EG10666
nusG	b3982	EG10667
obgE	b3183	G7656
och5		G0-10701
ogrK	b2082	G7119
ogt	b1335	EG10668
ohsC	b4608	G0-10598
ompA	b0957	EG10669
ompC	b2215	EG10670
ompF	b0929	EG10671
ompG	b1319	G6657
ompL	b3875	G7814
ompN	b1377	G6700
ompR	b3405	EG10672
ompT	b0565	EG10673
ompW	b1256	EG11124
ompX	b0814	EG12117
omrA	b4444	G0-8868
omrB	b4445	G0-8882
opgB	b4359	EG12591
opgC	b1047	G6552
opgD	b1424	EG12859
opgE	b0815	G6418
opgG	b1048	EG11885
opgH	b1049	EG11886
oppA	b1243	EG10674
oppB	b1244	EG10675
oppC	b1245	EG10676
oppD	b1246	EG10677
oppF	b1247	EG10678
orn	b4162	G7842
ortT	b1445	G6756
orzP		G0-17076
osmB	b1283	EG10679
osmC	b1482	EG10680
osmE	b1739	EG10044
osmF	b2131	EG12012
osmY	b4376	EG11391
otsA	b1896	EG11751
otsB	b1897	EG11752
oweE	b4692	G0-16719
oxc	b2373	G7236
oxyR	b3961	EG10681
oxyS	b4458	EG31116
paaA	b1388	G6709
paaB	b1389	G6710
paaC	b1390	G6711
paaD	b1391	G6712
paaE	b1392	G6713
paaF	b1393	G6714
paaG	b1394	G6715
paaH	b1395	G6716
paaI	b1396	G6717
paaJ	b1397	G6718
paaK	b1398	G6719
paaX	b1399	G6720
paaY	b1400	G6721
paaZ	b1387	G6708
pabA	b3360	EG10682
pabB	b1812	EG10683
pabC	b1096	EG11493
paeA	b4218	G7873
pagP	b0622	EG12180
pal	b0741	EG10684
panB	b0134	EG11675
panC	b0133	EG11746
panD	b0131	EG11747
panE	b0425	G6239
panF	b3258	EG10685
panZ	b3459	EG12211
paoA	b0286	G6157
paoB	b0285	G6156
paoC	b0284	G6155
paoD	b0283	G6154
parC	b3019	EG10686
parE	b3030	EG10687
patA	b3073	G7596
patD	b1444	G6755
patZ	b2584	G7350
pawZ	b4643	G0-16654
pbl	b2854	G7474
