gene,1000:1_0h_1,1000:1_0h_2,1000:1_0h_3,1000:1_24h_1,1000:1_24h_2,1000:1_24h_3,1000:1_4h_1,1000:1_4h_2,1000:1_4h_3,1000:1_8h_1,1000:1_8h_2,1000:1_8h_3,1:1000_0h_1,1:1000_0h_2,1:1000_0h_3,1:1000_24h_1,1:1000_24h_2,1:1000_24h_3,1:1000_4h_1,1:1000_4h_2,1:1000_4h_3,1:1000_8h_1,1:1000_8h_2,1:1000_8h_3,1:1_0h_1,1:1_0h_2,1:1_0h_3,1:1_24h_1,1:1_24h_2,1:1_24h_3,1:1_4h_1,1:1_4h_2,1:1_4h_3,1:1_8h_1,1:1_8h_2,1:1_8h_3,E_coli_0h_1,E_coli_0h_2,E_coli_0h_3,E_coli_24h_1,E_coli_24h_2,E_coli_24h_3,E_coli_4h_1,E_coli_4h_2,E_coli_4h_3,E_coli_8h_1,E_coli_8h_2,E_coli_8h_3,P_putida_0h_1,P_putida_0h_2,P_putida_0h_3,P_putida_24h_1,P_putida_24h_2,P_putida_24h_3,P_putida_4h_1,P_putida_4h_2,P_putida_4h_3,P_putida_8h_1,P_putida_8h_2,P_putida_8h_3
b1233,403,387,310,11,10,9,137,90,276,80,114,46,2,0,8,6,3,0,0,3,0,8,14,8,199,141,127,5,0,8,47,42,97,10,24,17,274,154,92,19,40,47,94,108,232,109,98,82,0,0,0,0,0,0,0,2,0,1,0,0
b1234,1087,903,614,456,604,355,1478,1774,1834,967,967,996,8,12,9,172,166,78,3,12,12,90,66,27,919,531,986,264,240,285,683,907,1289,477,458,488,967,895,588,1062,1532,1688,1370,1578,1330,914,1011,838,0,1,0,1,3,0,0,6,0,1,1,0
b1235,972,956,533,2087,2385,1671,2927,2561,1463,2960,2904,2290,10,11,15,620,500,261,1,21,9,76,43,13,696,483,783,1311,1170,1003,2301,2429,1430,2507,2496,2196,731,855,702,4867,5039,5859,3099,3181,1675,2527,3168,2453,2,1,0,3,6,0,1,9,0,0,1,0
b1236,2088,2320,2077,1478,2025,1785,5699,5207,4573,1840,2079,2325,9,34,26,351,338,183,15,62,30,397,261,71,1816,1373,2594,1493,1307,1094,2583,2337,3942,1219,1228,1221,1759,3076,2546,2919,3389,3876,6474,6537,4698,2207,2047,1573,2,0,0,8,9,0,4,16,0,5,0,8
b1237,16637,18343,14859,5257,7931,4872,25169,20935,22785,21887,24513,26514,109,263,248,1959,2024,1023,134,463,155,2114,1965,523,13893,10967,17776,3101,3050,2260,19758,17143,17847,9778,9729,11794,14770,23163,11282,13100,13487,14291,27610,29379,26146,24065,23800,17994,8,9,0,35,35,0,23,88,0,7,7,12
b1238,621,503,423,36,58,23,173,212,412,149,188,101,3,6,6,7,4,0,6,7,4,26,30,4,228,204,293,16,15,33,100,155,164,40,61,39,301,280,54,123,134,159,119,146,497,141,134,110,0,1,0,1,0,0,2,2,0,0,0,0
b1241,190662,222404,79480,55539,66179,48126,36815,27510,44940,43802,52011,43699,1075,363,971,8811,7902,4126,354,778,558,11236,10870,1916,84973,79810,82266,22115,21886,17972,35499,29598,43585,38609,42320,36230,175693,243987,51594,106758,107514,125444,41059,32435,47799,48003,51077,40135,52,44,1,384,103,1,74,1273,0,74,51,32
b1242,317,367,147,24,37,18,118,116,178,112,127,55,0,0,5,4,10,1,6,0,3,5,12,3,121,162,65,11,5,5,56,74,119,36,46,39,160,139,73,59,69,94,102,145,156,117,92,68,0,0,0,0,0,0,0,2,0,0,0,0
b1243,99259,80006,35715,8978,10592,3929,122709,93306,54369,250325,244793,232489,354,176,318,2282,1667,418,150,515,203,5062,2535,1590,51253,43326,21555,1906,1921,893,115191,94922,37314,49551,50929,34532,48552,41278,24130,18127,24042,21987,138940,93521,53858,233930,222565,148043,49,49,0,117,186,0,75,467,0,59,61,23
b1244,2542,1010,1318,64,82,41,1977,1297,791,3579,3352,2664,10,6,11,30,18,3,6,20,1,62,56,47,719,391,720,16,13,15,1579,1194,664,502,595,473,1196,1391,526,168,255,314,2167,1654,1135,3533,3479,2636,1,2,0,7,1,0,3,4,0,3,1,0
b1245,425,243,247,67,88,59,69,76,81,137,168,167,2,1,1,16,14,5,0,2,1,13,6,1,211,84,259,40,42,24,40,41,62,98,72,111,364,219,109,187,163,167,83,60,65,148,125,216,0,0,0,0,0,0,0,0,0,0,0,0
b1246,866,422,589,82,142,96,210,233,185,284,242,361,1,2,4,19,19,7,2,5,6,20,26,8,368,199,426,66,57,30,100,66,160,86,122,149,769,465,459,237,205,250,280,229,202,378,258,428,0,0,0,0,1,0,0,3,0,0,0,1
b1247,688,572,685,152,187,160,311,292,284,339,422,463,1,0,6,33,41,7,0,2,0,29,29,14,420,320,526,86,73,36,135,116,227,179,228,204,866,620,574,365,310,289,364,355,261,430,423,444,1,0,2,2,1,0,0,9,0,1,0,1
b1248,419,437,332,140,261,128,566,483,271,531,668,395,4,11,3,31,31,15,3,12,4,41,27,11,205,155,134,96,86,50,215,226,226,319,403,295,515,383,411,589,559,704,617,655,386,567,710,408,0,0,0,2,0,0,0,2,0,1,0,0
b1249,1241,1653,969,513,619,342,3216,3352,1899,2009,2258,1910,14,25,8,149,128,39,15,57,7,243,191,64,1336,1483,914,309,272,169,1903,2001,1651,1368,1367,1139,1564,1104,1479,1358,1160,1351,2973,3779,1764,2040,2296,2091,1,1,0,0,7,0,3,7,0,0,1,2
b1250,800,1297,271,300,433,182,1191,1579,495,596,791,469,2,2,6,129,152,50,0,3,0,27,12,8,500,526,171,153,160,99,794,633,679,544,645,502,388,685,235,946,885,1163,1095,1433,595,661,636,326,0,2,0,0,3,0,0,4,0,0,0,0
b1251,378,473,368,29,15,10,841,825,673,859,846,937,14,11,11,8,8,1,7,13,12,113,135,52,992,422,520,9,15,18,339,285,1527,182,261,253,975,776,743,110,119,128,856,1493,1056,1024,973,991,0,0,0,2,3,0,0,4,0,0,1,0
b1252,613,242,306,300,345,200,62,89,290,137,287,234,0,3,0,81,84,23,1,3,0,6,5,2,272,103,215,83,108,105,63,48,91,82,148,96,377,294,135,1669,1444,1783,59,56,243,200,192,249,0,0,0,0,0,0,0,0,0,0,0,0
b1253,480,567,481,45,86,21,59,67,154,295,355,166,2,1,2,14,23,5,3,3,2,1,5,0,184,194,258,22,24,17,33,25,78,166,195,123,328,291,143,241,231,343,51,74,153,334,352,167,0,0,0,0,1,0,1,2,0,0,0,0
b1254,1533,1073,1155,1617,1887,1131,497,416,652,1460,1671,909,2,3,10,254,216,82,2,11,6,29,41,18,886,675,878,827,739,364,476,305,455,1577,1509,1151,1051,879,529,2311,1874,1970,469,535,619,1489,1677,955,1,1,0,4,0,0,4,8,0,2,0,1
b1255,1164,838,744,693,868,565,359,290,451,938,1240,634,6,9,14,107,99,39,4,13,6,39,21,26,731,502,511,348,344,174,286,249,258,725,727,620,672,523,405,1272,1023,1080,385,370,491,995,1160,647,1,1,0,0,1,0,1,6,0,2,0,0
b1256,1241,1024,1511,142,186,99,4379,8865,4965,5148,5053,5310,9,8,8,54,57,2,6,48,10,968,296,117,1444,1196,1571,38,48,8,2047,3778,11762,824,1100,902,1630,1145,3676,45,61,46,4282,13989,7828,6936,4959,5073,1,2,0,8,16,0,3,10,0,4,2,4
b1257,89,123,32,1306,1795,797,85,106,75,838,1117,1184,0,0,1,168,64,63,0,2,0,11,1,0,54,60,4,678,600,282,142,87,62,804,914,764,28,91,12,13333,9237,5122,90,91,41,765,582,312,0,3,0,2,1,0,1,5,0,1,0,0
b1258,54,65,9,1084,1489,458,66,135,30,661,946,817,0,0,0,132,51,49,0,3,0,0,0,0,18,28,0,455,471,219,96,111,40,729,800,579,8,48,6,9923,7537,3361,50,65,13,671,407,91,2,0,0,2,0,0,0,1,0,2,1,0
b1259,11,32,1,5079,6265,3274,76,50,21,1325,1429,1724,0,0,2,706,549,421,1,20,0,1,0,0,8,10,2,3067,1920,2314,140,74,28,1697,1262,1848,3,165,2,53683,43283,35578,57,50,17,1181,1573,479,4,9,0,5,8,0,9,5,0,8,0,0
b1260,488,485,581,90,122,91,1015,975,751,718,781,899,2,9,0,28,36,16,6,4,1,96,67,14,402,415,270,56,49,32,526,452,523,285,465,361,503,514,605,264,243,327,1168,1197,662,965,891,963,1,0,0,1,0,0,0,1,0,0,0,0
b1261,885,761,985,163,183,132,1157,1081,1079,904,1138,948,1,6,2,40,33,13,2,25,2,112,63,18,794,382,333,87,62,44,809,498,677,418,589,402,962,694,1021,423,443,516,1374,1605,1112,1111,953,1048,0,1,0,3,0,0,0,3,0,0,0,0
b1262,378,276,272,160,189,95,674,759,561,537,650,476,1,1,2,55,46,13,4,12,0,28,38,16,490,254,225,67,87,64,427,363,443,364,455,382,514,713,349,557,559,638,521,713,596,614,543,573,1,0,0,1,3,0,2,1,0,1,0,0
b1263,100,71,69,69,57,28,59,57,82,103,86,62,0,0,1,11,6,8,2,0,1,13,14,4,134,54,48,29,25,21,34,41,50,40,50,61,349,3445,104,159,82,136,74,67,59,127,120,100,0,0,0,10,0,0,1,0,0,0,0,0
b1264,253,54,46,4,2,1,15,32,60,39,30,15,0,1,1,0,2,0,0,1,1,27,13,4,74,24,44,0,1,0,15,12,17,3,5,6,2368,3335,31,14,11,18,27,32,111,43,27,25,0,0,0,7,1,0,0,0,0,1,2,0
b1265,2,4,2,2,2,3,5,1,7,10,15,3,0,0,0,3,0,0,0,0,0,0,2,4,8,1,3,0,0,4,6,1,4,5,3,7,11,6,3,6,18,20,5,4,4,20,18,12,0,0,0,0,0,0,0,0,0,0,0,0
b1266,1299,1143,815,339,458,224,1110,1201,762,1370,1334,881,3,6,9,120,137,34,6,21,1,47,41,18,684,726,623,134,188,116,783,858,632,898,765,609,671,815,497,1431,1055,1394,1058,1257,844,1412,1377,1188,2,1,0,3,0,0,0,6,0,0,1,1
b1267,1208,1277,911,612,865,436,2756,2174,1179,1482,1752,1239,0,11,6,179,169,68,2,11,7,70,67,20,796,1013,661,315,283,236,1620,1696,1141,1158,1170,1025,730,1127,971,2188,1936,1896,2527,2447,1244,1855,1856,1440,2,1,0,4,3,0,1,7,0,0,0,0
b1268,89,128,81,70,119,56,180,153,106,120,129,113,0,1,0,10,22,13,2,3,1,13,3,1,64,72,109,38,33,42,169,146,115,108,86,97,74,75,62,249,253,318,163,156,131,103,118,126,0,0,0,0,0,0,0,2,0,1,0,0
b1269,3875,2313,4108,228,281,160,338,331,1593,593,777,486,6,22,27,48,46,9,19,27,14,98,120,15,1263,835,2580,102,69,46,345,341,712,275,332,245,1532,771,469,624,663,875,296,375,1606,732,618,433,0,0,0,1,2,0,0,16,0,1,0,0
b1270,350,308,312,109,101,73,219,252,423,255,397,217,8,1,11,30,28,15,0,7,2,45,41,18,422,286,342,38,23,45,169,126,251,165,231,138,484,315,314,273,250,322,253,387,326,363,334,235,0,0,0,1,1,0,0,1,0,1,0,0
b1271,533,675,474,114,150,85,469,492,647,506,598,339,7,8,6,38,46,20,4,12,5,84,76,25,686,571,424,65,34,52,363,257,461,239,353,231,812,553,707,312,454,474,507,690,606,580,616,390,0,0,0,2,1,0,0,3,0,0,0,1
b1272,2227,2232,1857,472,537,337,1361,1670,1929,1303,1932,1086,12,28,11,118,96,39,10,37,9,174,89,48,1380,1356,1147,201,206,128,828,601,1633,795,1069,723,2136,1841,1921,1353,1442,1694,1371,2257,1992,1767,1641,941,0,2,0,0,2,0,2,12,0,2,0,4
b1273,1014,1096,776,408,586,329,1379,1181,953,1512,1734,1415,8,14,14,196,111,37,3,40,7,87,99,25,852,598,668,191,174,196,792,684,1149,725,816,802,1380,1294,1273,2047,1850,2459,1280,2108,1275,1732,2015,1367,1,1,0,6,1,2,1,3,0,0,0,0
b1274,19981,12371,21592,2922,3627,2082,4550,4385,9918,9300,10545,8304,58,117,169,814,704,276,68,256,107,1554,1202,192,10789,6896,15176,1049,903,656,4636,2990,6102,5599,6486,5808,15395,11332,10912,12128,9421,8936,5404,6385,11797,12674,10950,8506,3,6,0,17,13,1,13,99,0,2,6,5
b1275,2430,1924,2086,268,232,154,1572,1848,2752,893,1159,590,15,12,7,79,46,28,9,33,5,104,95,31,2038,1223,1053,62,45,79,624,595,1217,240,373,209,1468,522,666,802,979,1061,1213,2171,2232,824,929,458,0,0,0,1,5,0,0,10,0,0,1,0
b1276,5166,3779,2703,24951,24341,15200,47344,28938,4703,37759,40029,45224,14,9,8,5184,4535,4072,25,90,15,266,115,78,2295,3033,1009,13065,11945,9460,57582,58418,6179,32956,28517,25017,1689,4908,3071,40558,31416,33080,49214,29212,5713,36347,40852,44726,21,14,0,21,57,0,24,30,0,13,12,3
b1277,1752,1157,1375,213,281,181,683,575,1290,727,1126,498,7,9,19,85,28,30,14,35,20,85,99,30,961,786,593,92,95,106,359,305,747,365,596,311,1643,1000,716,643,709,918,660,1170,950,1032,1042,618,0,0,0,0,0,0,0,4,0,0,0,0
b1278,406,333,237,387,442,234,557,482,476,836,1009,717,2,7,6,102,87,32,3,4,1,48,42,12,336,320,261,246,241,166,491,568,448,482,508,475,241,185,210,1087,996,1101,649,654,489,840,998,743,0,2,0,0,3,0,0,7,0,1,2,0
b1279,284,479,346,191,269,147,334,298,281,765,852,630,2,4,6,65,64,29,6,10,2,32,57,22,395,429,347,129,114,92,349,350,384,400,396,426,426,446,649,631,504,456,390,466,362,764,962,638,0,0,0,0,0,0,1,6,0,0,0,2
b1280,992,1099,725,342,452,233,564,684,895,787,1115,667,10,9,11,94,62,29,3,14,12,86,72,29,1025,1052,488,143,123,79,703,638,682,437,474,461,832,708,576,678,569,746,596,682,841,893,984,786,0,1,0,0,3,0,0,1,0,1,1,0
b1281,1450,1166,929,15,50,19,154,306,984,609,764,445,1,2,18,7,4,4,3,12,6,22,33,4,527,470,394,7,10,11,105,72,343,76,93,46,411,508,157,122,117,129,137,196,932,941,741,691,0,0,0,2,0,0,0,9,0,0,1,1
b1282,349,248,215,11,7,6,40,33,126,131,202,109,0,5,5,3,3,0,1,3,0,4,6,0,114,70,55,6,3,6,17,11,58,21,20,18,91,156,51,32,24,24,36,48,195,235,217,197,0,0,0,1,0,0,0,5,0,0,2,0
b1283,3144,5314,246,19907,24589,14795,5836,3156,469,9443,13854,7184,2,1,7,5337,3882,2515,6,57,3,71,10,15,1979,4054,131,15776,13728,11192,15938,9715,1112,19815,17391,12187,1086,5318,733,37382,41978,47421,5516,2881,561,8038,10701,4110,6,4,0,10,11,0,8,35,0,4,7,0
b1284,342,333,482,16,15,23,120,184,373,44,66,47,10,7,2,6,9,6,1,8,7,24,30,16,372,206,524,9,11,11,65,67,168,31,31,40,485,167,127,46,48,38,108,176,268,56,65,51,0,0,0,2,1,0,0,0,0,0,0,0
b1285,752,1303,372,1591,1850,1036,5876,5337,1537,2774,2424,2340,1,6,6,573,460,225,4,5,2,189,75,45,250,528,154,976,718,721,3725,5164,1778,1892,1525,1463,249,690,281,3330,4567,4942,5309,5031,1623,2246,2721,2329,1,1,0,4,6,0,3,8,0,1,3,0
b1286,8133,4985,7570,99,120,36,896,1097,3572,1661,2115,1017,16,26,54,30,35,12,15,41,30,263,360,36,3400,1713,5963,22,40,35,439,304,1195,310,455,337,5312,3905,1642,749,682,652,890,1220,3718,2514,1877,1265,2,1,0,8,3,0,1,25,0,1,1,2
b1287,106,97,77,68,43,19,39,35,77,281,395,135,1,0,1,6,7,0,0,1,0,4,11,5,510,129,66,21,7,9,64,27,26,178,180,150,131,46,40,432,667,704,30,41,63,134,120,63,0,0,0,0,0,0,0,0,0,0,0,0
b1288,10540,7719,9867,4800,6260,4672,5899,5374,11356,7340,8438,7365,23,86,93,910,971,376,23,103,46,463,653,149,6787,4888,10268,1854,1911,1814,4131,2992,6185,4902,5879,4958,8782,9355,7066,9828,12212,15827,6402,7424,9968,9747,8296,7230,1,4,0,14,19,0,6,59,0,9,3,7
b1289,229,136,106,77,129,86,176,194,151,365,430,264,4,0,1,25,27,6,1,3,4,13,15,6,366,273,148,61,54,23,108,110,151,121,136,107,360,239,216,273,220,192,192,247,132,338,374,308,0,0,0,0,0,0,0,1,0,0,0,0
b1290,435,452,327,235,263,228,343,388,339,351,502,323,2,8,3,58,45,21,3,4,3,26,29,7,273,237,273,157,134,87,331,242,211,266,331,254,440,586,339,671,525,558,409,387,267,372,502,364,0,0,0,1,0,0,0,3,0,1,1,0
b1291,760,671,372,539,652,457,968,603,533,977,1166,997,3,6,8,104,110,54,2,20,3,64,60,16,510,471,374,332,319,186,724,547,365,674,779,579,581,1053,636,1308,1235,1380,979,849,419,1163,1294,1055,0,0,0,0,0,0,0,0,0,2,0,0
b1292,87,133,80,241,292,249,99,80,88,301,383,253,1,5,1,61,42,28,0,0,0,7,10,3,100,67,125,143,146,83,112,57,68,205,222,239,92,146,86,415,387,470,107,76,73,310,338,243,0,0,0,0,1,0,1,0,0,0,0,0
b1293,223,165,264,604,590,502,258,201,157,393,480,387,0,1,4,104,68,43,0,2,4,20,24,3,109,90,242,331,334,174,195,137,158,358,357,414,247,285,192,924,778,784,321,291,146,461,572,393,0,0,0,0,1,0,0,0,0,0,0,0
b1294,1635,1554,1065,1180,1140,891,1684,1414,1055,1175,1580,1106,1,7,8,220,153,88,4,15,6,55,55,15,729,625,711,647,546,375,972,830,756,857,1052,836,1197,1032,614,2134,1807,1955,1723,1762,1067,1489,1548,1184,1,0,0,3,2,0,4,5,0,1,0,0
b1295,310,183,112,16,27,9,50,69,171,75,111,34,0,1,6,5,1,0,0,6,1,7,8,1,144,78,65,4,3,4,37,79,107,21,34,23,216,83,28,108,114,95,58,102,153,105,85,58,0,0,0,0,0,0,0,2,0,0,0,0
b1296,175,106,107,37,55,34,145,151,78,252,306,234,1,0,0,18,25,14,0,0,0,6,4,0,78,29,28,25,19,31,89,94,56,73,75,59,95,81,44,217,184,175,152,153,92,224,344,405,0,0,0,0,0,0,0,0,0,0,0,0
b1297,117,75,72,60,100,38,670,677,163,177,236,167,0,0,5,32,34,16,1,0,0,4,5,2,45,35,50,50,43,59,258,266,86,58,55,82,71,34,93,439,361,315,644,793,135,202,242,334,0,0,0,0,1,0,0,0,0,0,0,0
b1298,23,41,35,66,64,44,266,309,48,59,86,97,0,0,0,23,30,24,0,0,0,7,9,0,18,19,20,45,41,73,103,110,77,50,33,36,23,13,62,254,184,208,295,328,55,82,98,101,0,0,0,0,0,0,0,0,0,0,1,0
b1299,125,135,85,160,197,136,244,293,128,227,288,186,0,2,1,25,32,14,0,1,0,6,12,6,91,80,77,80,84,56,172,176,104,143,143,121,81,85,87,419,351,385,279,330,143,218,283,240,0,0,0,0,0,0,0,0,0,0,0,0
b1300,109,89,55,55,41,37,1886,909,180,301,574,260,0,0,5,7,10,2,0,2,0,16,0,0,62,60,27,18,26,13,478,2535,62,92,66,60,28,82,56,138,128,145,1775,618,177,234,626,562,0,0,0,1,0,0,1,1,0,0,0,0
b1301,47,45,21,13,15,8,1066,381,93,149,330,163,0,0,0,13,6,1,0,3,0,3,1,0,26,33,11,6,6,3,259,1590,17,28,41,33,13,42,27,62,41,66,947,245,56,113,354,341,0,0,0,0,0,0,0,0,0,0,0,0
b1302,54,55,28,21,42,23,1988,481,142,220,363,179,0,0,0,10,4,2,0,0,0,8,3,0,25,45,12,10,13,3,477,2351,25,54,61,53,12,56,43,90,68,105,1650,223,110,158,469,414,0,0,0,0,1,0,0,0,0,0,0,0
b1303,175,252,114,55,47,18,491,471,465,185,238,182,1,9,1,6,8,6,4,7,3,54,38,6,132,209,125,10,11,15,350,393,319,112,87,74,136,184,173,160,123,189,455,626,366,228,240,179,0,0,0,0,2,0,1,3,0,0,0,0
b1304,1278,1186,1239,1734,1883,979,1185,1387,1678,1436,2097,1066,24,6,9,170,136,98,4,22,8,280,57,44,2156,1670,2597,1051,901,670,2181,1643,1343,940,1181,711,968,833,1587,3113,2204,1890,1386,1893,1667,1770,1522,432,1,0,0,0,1,0,1,2,0,0,1,4
b1305,5,9,7,11,21,17,14,7,9,17,12,12,0,0,0,0,0,1,0,0,0,0,1,0,14,10,18,9,8,6,8,4,11,4,7,11,5,4,13,32,33,42,13,15,11,20,31,12,0,0,0,0,0,0,1,0,0,0,0,0
b1306,13,18,30,58,56,40,46,27,39,57,85,63,0,0,0,12,5,2,0,1,0,7,0,0,55,31,56,47,28,28,47,34,23,45,44,39,16,28,35,190,183,170,41,55,31,67,83,63,0,0,0,0,0,0,0,0,0,0,0,0
b1307,32,21,21,87,87,48,66,50,25,96,82,58,5,0,0,17,31,3,1,1,0,5,0,1,44,34,29,53,51,29,40,43,19,62,43,41,33,23,52,189,152,150,42,66,33,84,110,54,0,0,0,1,0,0,0,0,0,0,0,0
b1308,474,486,376,180,206,130,2515,2565,2020,1146,1543,1131,16,6,14,29,32,9,5,39,25,184,140,70,1979,1432,680,146,103,112,599,580,2378,176,267,172,1411,1165,1920,473,427,470,2614,5528,2459,1698,1312,748,0,1,0,5,5,0,0,7,0,0,0,1
b1309,21,39,7,1,1,0,38,121,171,41,50,27,2,1,6,0,0,0,0,7,2,23,10,8,62,99,241,0,2,0,32,28,89,1,5,11,117,124,94,9,19,1,71,172,171,44,38,42,0,0,0,0,0,0,0,1,0,0,0,0
b1310,7,11,20,9,4,1,57,92,408,13,20,20,0,1,1,0,0,0,0,6,2,37,14,8,83,71,454,0,1,1,17,12,251,1,2,9,43,32,462,11,15,13,71,161,388,32,21,18,0,0,0,0,0,0,0,0,0,0,0,0
b1311,5,9,0,2,2,4,7,21,43,16,9,12,0,0,1,2,3,0,0,0,0,0,4,5,17,11,100,1,1,0,8,6,58,8,6,8,4,7,84,13,3,5,7,35,68,18,15,18,0,0,0,0,0,0,0,0,0,0,0,0
b1312,12,10,10,5,8,5,13,33,75,36,24,24,0,0,0,2,2,2,0,0,0,8,7,0,13,19,109,1,1,1,15,8,59,10,9,14,7,19,151,22,10,8,30,53,124,31,31,35,0,0,0,0,0,0,0,0,0,0,0,0
b1313,19,58,52,6,9,9,71,119,182,74,71,65,0,0,5,0,3,0,0,0,0,28,13,2,57,40,145,2,9,0,26,36,178,14,24,16,20,51,476,15,21,23,76,184,230,55,58,95,0,0,0,0,0,0,0,0,0,0,0,1
b1314,15,36,36,7,6,3,61,75,105,32,36,36,0,0,2,3,0,1,0,1,0,6,5,1,21,37,70,2,3,1,23,31,118,15,19,8,12,29,303,12,21,15,60,127,149,49,43,45,0,0,0,0,0,0,0,0,0,0,0,0
b1315,71,39,46,14,8,1,58,88,88,60,62,36,0,0,1,6,0,3,0,5,0,5,4,3,63,25,74,8,2,0,25,17,104,26,32,8,54,59,260,19,32,33,62,127,151,80,55,57,0,0,0,0,0,0,0,0,0,0,0,0
b1316,66,59,64,11,16,2,61,79,96,74,91,65,0,1,0,9,4,0,0,0,0,6,7,2,66,46,73,4,2,1,46,26,86,23,26,26,60,60,285,39,35,26,67,140,156,91,97,82,0,0,0,0,0,0,0,0,0,0,3,0
b1317,6,10,24,0,3,0,2,14,14,6,13,10,0,0,1,0,0,0,0,0,0,0,1,0,3,12,5,0,0,0,12,4,9,0,2,3,7,6,93,6,3,2,14,11,8,7,8,11,0,0,0,0,0,0,0,0,0,0,0,0
b1319,3,3,63,0,1,0,4,6,11,1,4,1,0,0,0,0,0,0,0,1,0,2,1,0,2,1,4,0,0,0,5,5,10,0,3,1,0,1,87,2,1,0,17,13,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
b1320,76,164,61,1,3,0,109,138,268,78,84,19,5,2,0,0,0,1,0,2,1,8,6,3,139,135,53,0,1,0,60,87,125,20,12,14,87,45,14,13,28,40,64,102,189,73,62,34,0,0,0,0,0,0,0,0,0,0,0,0
b1321,1024,1336,1044,1011,1272,1035,813,789,976,1774,2431,1189,5,15,8,233,205,124,1,33,10,107,99,22,1354,1872,438,542,512,265,1574,852,744,2090,1821,1917,924,1209,2019,2191,1288,987,772,910,962,1895,2314,1175,1,1,0,2,2,0,3,9,0,1,0,0
b1322,372,380,550,387,433,346,330,337,300,635,811,462,4,2,4,112,118,51,4,16,0,67,32,9,389,459,154,226,204,74,696,262,232,850,679,862,266,532,781,772,489,448,382,458,419,690,840,451,1,0,0,1,2,0,1,0,0,0,1,0
b1323,3503,4220,2475,1301,1585,1023,3176,3060,3403,3060,3586,3491,30,25,37,360,270,114,7,65,23,227,227,79,3435,4205,2838,667,626,495,2875,2664,2535,2088,2291,2134,3515,4171,2180,2872,2659,2876,3288,3735,2781,3275,3802,3693,3,0,0,12,3,0,3,28,0,1,2,0
b1324,2661,1040,1727,333,445,318,7271,5999,5993,3312,3323,3283,2,28,15,127,124,31,33,54,9,363,325,103,1688,1029,924,176,149,190,3037,2385,3475,1274,1629,1401,1862,1034,1994,1425,1737,1817,7460,9928,5475,4349,3586,2912,3,1,0,4,6,0,3,11,0,2,2,1
b1325,1890,1765,871,1768,1995,1178,1724,1711,1130,2211,2784,1855,2,14,8,312,220,114,4,33,13,130,75,28,1575,1415,729,969,867,394,1616,1738,972,1693,1641,1454,1559,1334,1156,4283,2920,2808,1732,1914,1314,2210,2519,2197,0,1,0,4,2,0,1,14,0,3,0,2
b1326,665,806,456,652,878,578,1365,1470,825,1292,1379,917,8,7,6,197,188,51,6,10,3,51,45,23,562,451,349,404,445,391,960,1017,1002,931,1128,857,922,709,572,2872,3202,3704,1303,1315,676,1174,1465,1099,0,1,0,1,6,0,0,4,0,1,1,2
b1327,64,79,41,20,52,22,235,190,80,121,124,94,0,0,0,25,15,2,1,0,1,7,11,4,54,36,19,19,12,23,164,177,61,84,66,65,55,86,27,130,179,199,192,216,50,119,133,84,0,0,0,0,0,0,0,1,0,0,0,0
b1328,147,157,100,28,18,18,226,231,214,111,109,97,0,0,1,8,7,3,1,8,2,19,13,4,95,77,131,10,11,4,149,185,157,73,56,30,115,84,47,60,70,120,223,197,172,101,100,91,0,0,0,0,1,0,0,0,0,0,0,0
b1329,1124,1361,691,359,585,253,2166,2871,3959,1988,1909,2108,37,36,44,79,130,42,17,97,26,646,414,98,1598,1234,2331,137,167,205,1584,1680,1897,700,545,690,2166,2148,781,1502,2128,2478,2420,3638,3763,1822,1690,2030,0,0,0,6,6,0,4,4,0,2,1,1
b1330,1354,2153,502,51,94,47,701,719,442,823,1471,902,1,6,4,110,113,43,3,11,9,51,29,11,864,1463,238,24,38,43,1202,903,1015,350,765,596,789,1674,373,147,269,311,724,832,632,1417,1179,1052,1,0,0,1,1,0,2,13,0,0,1,0
b1331,1,4,2,6,8,5,5,9,3,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,7,7,7,2,1,4,0,2,0,7,10,11,9,5,4,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0
b1332,301,269,314,870,1019,623,1644,1265,473,1090,902,926,3,2,5,290,254,65,3,2,0,23,26,7,393,319,217,409,327,403,881,468,518,644,628,764,488,239,515,2045,2252,3020,1296,1676,634,1328,1243,1168,1,0,0,3,3,0,0,2,0,1,1,0
b1333,5092,9666,3446,16041,17836,12159,46470,36077,10354,17529,22327,20483,73,89,57,2433,1910,1022,25,201,75,1672,830,481,8964,15219,5850,8984,7800,4512,21882,26555,14022,13421,14278,11824,7476,9551,11866,22187,18436,22089,50715,51392,11158,17079,22496,21309,16,14,0,37,61,0,15,73,0,14,7,7
b1334,6399,5185,5820,2320,3192,2686,4694,5305,6319,4783,5096,3284,23,26,41,626,446,307,14,78,20,181,212,60,4311,3544,4445,1012,1174,2146,3176,2750,4370,2929,3172,2755,3641,2822,2636,11490,10361,14473,3865,5676,6492,4775,5069,3774,4,0,0,11,14,0,4,28,0,5,4,0
b1335,54,49,41,10,7,10,50,89,65,52,61,52,0,0,1,0,3,3,1,4,0,7,3,1,74,52,57,3,3,3,17,49,80,19,32,21,69,37,16,34,46,39,48,63,115,49,60,39,0,0,0,0,1,0,0,0,0,0,0,0
